movieId,title,fullPrice
1,Air Jordan 1 Low,110
2,Air Jordan 1 Low,110
3,Air Jordan 1 Low,110
4,Air Jordan 1 Low,110
5,Air Jordan 1 Low,110
6,Air Jordan 1 Low,110
7,Air Jordan 1 Low,110
8,Air Jordan 1 Low,110
9,Air Jordan 1 Low,110
10,Air Jordan 1 Low,110
11,Air Jordan 1 Low,110
12,Air Jordan 1 Low,110
13,Air Jordan 1 Low,110
14,Air Jordan 1 Low,110
15,Air Jordan 1 Low,110
16,Air Jordan 1 Low,110
17,Air Jordan 1 Low,110
18,Air Jordan 1 Low,110
19,Air Jordan 1 Low,110
20,Air Jordan 1 Low,110
21,Air Jordan 1 Low,110
22,Air Jordan 1 Low,110
23,Air Jordan 1 Low,110
24,Air Jordan 1 Low,110
25,Air Jordan 1 Low,110
26,Air Jordan 1 Low,110
27,Air Jordan 1 Low,110
28,Air Jordan 1 Low,110
29,Air Jordan 1 Low,110
30,Air Jordan 1 Low,110
31,Air Jordan 1 Low,110
32,Air Jordan 1 Low,110
34,Air Jordan 1 Low,110
36,Air Jordan 1 Low,110
38,Air Jordan 1 Low,110
39,Air Jordan 1 Low,110
40,Air Jordan 1 Low,110
41,Air Jordan 1 Low,110
42,Air Jordan 1 Low,110
43,Air Jordan 1 Low,110
44,Air Jordan 1 Low,110
45,Air Jordan 1 Low,110
46,Air Jordan 1 Low,110
47,Air Jordan 1 Low,110
48,Air Jordan 1 Low,110
49,Air Jordan 1 Low,110
50,Air Jordan 1 Low,110
52,Air Jordan 1 Low,110
53,Air Jordan 1 Low,110
54,Air Jordan 1 Low,110
55,Air Jordan 1 Low,110
57,Air Jordan 1 Low,110
58,Air Jordan 1 Low,110
60,Air Jordan 1 Low,110
61,Air Jordan 1 Low,110
62,Air Jordan 1 Low,110
63,Air Jordan 1 Low,110
64,Air Jordan 1 Low,110
65,Air Jordan 1 Low,110
66,Air Jordan 1 Low,110
68,Air Jordan 1 Low,110
69,Air Jordan 1 Low,110
70,Air Jordan 1 Low,110
71,Air Jordan 1 Low,110
72,Air Jordan 1 Low,110
73,Air Jordan 1 Low,110
74,Air Jordan 1 Low,110
75,Air Jordan 1 Low,110
76,Air Jordan 1 Low,110
77,Air Jordan 1 Low,110
78,Air Jordan 1 Low,110
79,Air Jordan 1 Low,110
80,Air Jordan 1 Low,110
81,Air Jordan 1 Low,110
82,Air Jordan 1 Low,110
83,Air Jordan 1 Low,110
85,Air Jordan 1 Low,110
86,Air Jordan 1 Low,110
87,Air Jordan 1 Low,110
88,Air Jordan 1 Low,110
89,Air Jordan 1 Low,110
92,Air Jordan 1 Low,110
93,Air Jordan 1 Low,110
94,Air Jordan 1 Low,110
95,Air Jordan 1 Low,110
96,Air Jordan 1 Low,110
97,Air Jordan 1 Low,110
99,Air Jordan 1 Low,110
100,Air Jordan 1 Low,110
101,Air Jordan 1 Low,110
102,Air Jordan 1 Low,110
103,Air Jordan 1 Low,110
104,Air Jordan 1 Low,110
105,Air Jordan 1 Low,110
106,Air Jordan 1 Low,110
107,Air Jordan 1 Low,110
108,Air Jordan 1 Low,110
110,Air Jordan 1 Low,110
111,Air Jordan 1 Low,110
112,Air Jordan 1 Low,110
113,Air Jordan 1 Low,110
116,Air Jordan 1 Low,110
117,Air Jordan 1 Low,110
118,Air Jordan 1 Low,110
119,Air Jordan 1 Low,110
121,Air Jordan 1 Low,110
122,Air Jordan 1 Low,110
123,Air Jordan 1 Low,110
125,Air Jordan 1 Low,110
126,Air Jordan 1 Low,110
128,Air Jordan 1 Low,110
129,Air Jordan 1 Low,110
132,Air Jordan 1 Low,110
135,Air Jordan 1 Low,110
137,Air Jordan 1 Low,110
140,Air Jordan 1 Low,110
141,Air Jordan 1 Low,110
144,Air Jordan 1 Low,110
145,Air Jordan 1 Low,110
146,Air Jordan 1 Low,110
147,Air Jordan 1 Low,110
148,Air Jordan 1 Low,110
149,Air Jordan 1 Low,110
150,Air Jordan 1 Low,110
151,Air Jordan 1 Low,110
152,Air Jordan 1 Low,110
153,Air Jordan 1 Low,110
154,Air Jordan 1 Low,110
155,Air Jordan 1 Low,110
156,Air Jordan 1 Low,110
157,Air Jordan 1 Low,110
158,Air Jordan 1 Low,110
159,Air Jordan 1 Low,110
160,Air Jordan 1 Low,110
161,Air Jordan 1 Low,110
162,Air Jordan 1 Low,110
163,Air Jordan 1 Low,110
164,Air Jordan 1 Low,110
165,Air Jordan 1 Low,110
166,Air Jordan 1 Low,110
168,Air Jordan 1 Low,110
169,Air Jordan 1 Low,110
170,Air Jordan 1 Low,110
171,Air Jordan 1 Low,110
172,Air Jordan 1 Low,110
173,Air Jordan 1 Low,110
174,Air Jordan 1 Low,110
175,Air Jordan 1 Low,110
176,Air Jordan 1 Low,110
177,Air Jordan 1 Low,110
178,Air Jordan 1 Low,110
179,Air Jordan 1 Low,110
180,Air Jordan 1 Low,110
181,Air Jordan 1 Low,110
183,Air Jordan 1 Low,110
184,Air Jordan 1 Low,110
185,Air Jordan 1 Low,110
186,Air Jordan 1 Low,110
187,Air Jordan 1 Low,110
188,Air Jordan 1 Low,110
189,Air Jordan 1 Low,110
190,Air Jordan 1 Low,110
191,Air Jordan 1 Low,110
193,Air Jordan 1 Low,110
194,Air Jordan 1 Low,110
195,Air Jordan 1 Low,110
196,Air Jordan 1 Low,110
198,Air Jordan 1 Low,110
199,Air Jordan 1 Low,110
201,Air Jordan 1 Low,110
202,Air Jordan 1 Low,110
203,Air Jordan 1 Low,110
204,Air Jordan 1 Low,110
205,Air Jordan 1 Low,110
206,Air Jordan 1 Low,110
207,Air Jordan 1 Low,110
208,Air Jordan 1 Low,110
209,Air Jordan 1 Low,110
210,Air Jordan 1 Low,110
211,Air Jordan 1 Low,110
212,Air Jordan 1 Low,110
213,Air Jordan 1 Low,110
214,Air Jordan 1 Low,110
215,Air Jordan 1 Low,110
216,Air Jordan 1 Low,110
217,Air Jordan 1 Low,110
218,Air Jordan 1 Low,110
219,Air Jordan 1 Low,110
220,Air Jordan 1 Low,110
222,Air Jordan 1 Low,110
223,Air Jordan 1 Low,110
224,Air Jordan 1 Low,110
225,Air Jordan 1 Low,110
227,Air Jordan 1 Low,110
228,Air Jordan 1 Low,110
229,Air Jordan 1 Low,110
230,Air Jordan 1 Low,110
231,Air Jordan 1 Low,110
232,Air Jordan 1 Low,110
233,Air Jordan 1 Low,110
234,Air Jordan 1 Low,110
235,Air Jordan 1 Low,110
236,Air Jordan 1 Low,110
237,Air Jordan 1 Low,110
238,Air Jordan 1 Low,110
239,Air Jordan 1 Low,110
240,Air Jordan 1 Low,110
241,Air Jordan 1 Low,110
242,Air Jordan 1 Low,110
243,Air Jordan 1 Low,110
246,Air Jordan 1 Low,110
247,Air Jordan 1 Low,110
248,Air Jordan 1 Low,110
249,Air Jordan 1 Low,110
250,Air Jordan 1 Low,110
251,Air Jordan 1 Low,110
252,Air Jordan 1 Low,110
253,Air Jordan 1 Low,110
254,Air Jordan 1 Low,110
255,Air Jordan 1 Low,110
256,Air Jordan 1 Low,110
257,Air Jordan 1 Low,110
258,Air Jordan 1 Low,110
259,Air Jordan 1 Low,110
260,Air Jordan 1 Low,110
261,Air Jordan 1 Low,110
262,Air Jordan 1 Low,110
263,Air Jordan 1 Low,110
265,Air Jordan 1 Low,110
266,Air Jordan 1 Low,110
267,Air Jordan 1 Low,110
269,Air Jordan 1 Low,110
270,Air Jordan 1 Low,110
271,Air Jordan 1 Low,110
272,Air Jordan 1 Low,110
273,Air Jordan 1 Low,110
274,Air Jordan 1 Low,110
275,Air Jordan 1 Low,110
276,Air Jordan 1 Low,110
277,Air Jordan 1 Low,110
278,Air Jordan 1 Low,110
279,Air Jordan 1 Low,110
280,Air Jordan 1 Low,110
281,Air Jordan 1 Low,110
282,Air Jordan 1 Low,110
283,Air Jordan 1 Low,110
284,Air Jordan 1 Low,110
285,Air Jordan 1 Low,110
287,Air Jordan 1 Low,110
288,Air Jordan 1 Low,110
289,Air Jordan 1 Low,110
290,Air Jordan 1 Low,110
291,Air Jordan 1 Low,110
292,Air Jordan 1 Low,110
293,Air Jordan 1 Low,110
294,Air Jordan 1 Low,110
295,Air Jordan 1 Low,110
296,Air Jordan 1 Low,110
298,Air Jordan 1 Low,110
299,Air Jordan 1 Low,110
300,Air Jordan 1 Low,110
301,Air Jordan 1 Low,110
302,Air Jordan 1 Low,110
303,Air Jordan 1 Low,110
304,Air Jordan 1 Low,110
305,Air Jordan 1 Low,110
306,Air Jordan 1 Low,110
307,Air Jordan 1 Low,110
308,Air Jordan 1 Low,110
310,Air Jordan 1 Low,110
311,Air Jordan 1 Low,110
312,Air Jordan 1 Low,110
313,Air Jordan 1 Low,110
314,Air Jordan 1 Low,110
315,Air Jordan 1 Low,110
316,Air Jordan 1 Low,110
317,Air Jordan 1 Low,110
318,Air Jordan 1 Low,110
319,Air Jordan 1 Low,110
320,Air Jordan 1 Low,110
321,Air Jordan 1 Low,110
322,Air Jordan 1 Low,110
324,Air Jordan 1 Low,110
325,Air Jordan 1 Low,110
326,Air Jordan 1 Low,110
327,Air Jordan 1 Low,110
328,Air Jordan 1 Low,110
329,Air Jordan 1 Low,110
330,Air Jordan 1 Low,110
331,Air Jordan 1 Low,110
332,Air Jordan 1 Low,110
333,Air Jordan 1 Low,110
334,Air Jordan 1 Low,110
335,Air Jordan 1 Low,110
336,Air Jordan 1 Low,110
337,Air Jordan 1 Low,110
338,Air Jordan 1 Low,110
339,Air Jordan 1 Low,110
340,Air Jordan 1 Low,110
341,Air Jordan 1 Low,110
342,Air Jordan 1 Low,110
343,Air Jordan 1 Low,110
344,Air Jordan 1 Low,110
345,Air Jordan 1 Low,110
346,Air Jordan 1 Low,110
347,Air Jordan 1 Low,110
